image,x_min,y_min,x_max,y_max,classe
barcode10.0.png,0.29333333333333333,0.6888888888888889,0.4222222222222222,0.7822222222222223,1,
barcode10.1.png,0.4044444444444445,0.6622222222222223,0.5333333333333333,0.7555555555555555,1,
barcode10.2.png,0.54,0.2533333333333333,0.6688888888888889,0.3466666666666667,1,
barcode10.3.png,0.38,0.2577777777777778,0.5088888888888888,0.35111111111111115,1,
barcode10.4.png,0.3488888888888889,0.2222222222222222,0.4777777777777778,0.3155555555555556,1,
barcode10.5.png,0.2111111111111111,0.2155555555555555,0.34,0.3088888888888889,1,
barcode10.6.png,0.18222222222222223,0.6844444444444444,0.3111111111111111,0.7777777777777778,1,
barcode10.7.png,0.5800000000000001,0.6866666666666666,0.7088888888888889,0.78,1,
barcode10.8.png,0.6022222222222222,0.27555555555555555,0.731111111111111,0.36888888888888893,1,
barcode10.9.png,0.6444444444444444,0.26222222222222225,0.7733333333333333,0.3555555555555555,1,
barcode10.10.png,0.3977777777777778,0.24444444444444446,0.5266666666666666,0.33777777777777773,1,
barcode10.11.png,0.3488888888888889,0.6844444444444444,0.47777777777777775,0.7777777777777778,1,
barcode10.12.png,0.45555555555555555,0.6911111111111111,0.5844444444444444,0.7844444444444445,1,
barcode10.13.png,0.4022222222222222,0.6822222222222222,0.5311111111111111,0.7755555555555556,1,
barcode10.14.png,0.5866666666666667,0.2711111111111111,0.7155555555555555,0.36444444444444446,1,
barcode10.15.png,0.5622222222222222,0.25111111111111106,0.6911111111111111,0.34444444444444444,1,
barcode10.16.png,0.4777777777777778,0.6466666666666666,0.6066666666666667,0.74,1,
barcode10.17.png,0.5511111111111111,0.26888888888888884,0.6799999999999999,0.3622222222222222,1,
barcode10.18.png,0.3866666666666667,0.6577777777777778,0.5155555555555555,0.7511111111111111,1,
barcode10.19.png,0.5622222222222222,0.6622222222222223,0.6911111111111111,0.7555555555555555,1,
barcode10.20.png,0.24666666666666667,0.6644444444444444,0.37555555555555553,0.7577777777777778,1,
barcode10.21.png,0.18222222222222223,0.6555555555555556,0.3111111111111111,0.7488888888888889,1,
barcode10.22.png,0.45999999999999996,0.24444444444444446,0.5888888888888889,0.33777777777777773,1,
barcode10.23.png,0.5733333333333333,0.6444444444444445,0.7022222222222223,0.7377777777777778,1,
barcode10.24.png,0.6444444444444444,0.6333333333333333,0.7733333333333333,0.7266666666666667,1,
barcode10.25.png,0.42444444444444446,0.6422222222222222,0.5533333333333333,0.7355555555555555,1,
barcode10.26.png,0.4711111111111111,0.2644444444444445,0.6,0.35777777777777775,1,
barcode10.27.png,0.38,0.24222222222222223,0.5088888888888888,0.3355555555555556,1,
barcode10.28.png,0.6422222222222222,0.28,0.7711111111111111,0.3733333333333333,1,
barcode10.29.png,0.32666666666666666,0.2733333333333333,0.4555555555555556,0.3666666666666667,1,
barcode10.30.png,0.41333333333333333,0.6888888888888889,0.5422222222222222,0.7822222222222223,1,
barcode10.31.png,0.43333333333333335,0.21777777777777774,0.5622222222222222,0.3111111111111111,1,
barcode10.32.png,0.5800000000000001,0.24,0.7088888888888889,0.33333333333333337,1,
barcode10.33.png,0.52,0.6311111111111111,0.6488888888888888,0.7244444444444444,1,
barcode10.34.png,0.16,0.6555555555555556,0.28888888888888886,0.7488888888888889,1,
barcode10.35.png,0.3844444444444445,0.6755555555555556,0.5133333333333333,0.7688888888888888,1,
barcode10.36.png,0.14666666666666667,0.2155555555555555,0.27555555555555555,0.3088888888888889,1,
barcode10.37.png,0.6288888888888888,0.6266666666666667,0.7577777777777778,0.72,1,
barcode10.38.png,0.29555555555555557,0.26,0.42444444444444446,0.3533333333333334,1,
barcode10.39.png,0.42,0.6355555555555555,0.5488888888888889,0.7288888888888889,1,
barcode10.40.png,0.40444444444444444,0.6755555555555556,0.5333333333333333,0.7688888888888888,1,
barcode10.41.png,0.7044444444444444,0.6444444444444445,0.8333333333333334,0.7377777777777778,1,
barcode10.42.png,0.6244444444444445,0.28,0.7533333333333333,0.3733333333333333,1,
barcode10.43.png,0.30666666666666664,0.6666666666666666,0.43555555555555553,0.76,1,
barcode10.44.png,0.45333333333333337,0.24222222222222223,0.5822222222222222,0.3355555555555556,1,
